Strategy,M,N,K,Num_Tasks,Total_Time_ms,Total_Time_s,Avg_Lat_ms,Min_Lat_ms,Max_Lat_ms,Pkg_J,Pkg_Avg_W,Core_J,Core_Avg_W,NVGPU_J,NVGPU_Avg_W,Sched_Avg_Fetch_us,Sched_Avg_Logic_us,Sched_Avg_Disp_us,CUDA_Tasks,CUDA_Occupancy_%,CUDA_Tot_Idle_ms,CUDA_Tot_Work_ms,CUDA_Avg_Idle_us,CUDA_Avg_Work_us,CUDA_Tot_Time_ms,SYCL_Tasks,SYCL_Occupancy_%,SYCL_Tot_Idle_ms,SYCL_Tot_Work_ms,SYCL_Avg_Idle_us,SYCL_Avg_Work_us,SYCL_Tot_Time_ms,OPENVINO_Tasks,OPENVINO_Occupancy_%,OPENVINO_Tot_Idle_ms,OPENVINO_Tot_Work_ms,OPENVINO_Avg_Idle_us,OPENVINO_Avg_Work_us,OPENVINO_Tot_Time_ms,OPENBLAS_Tasks,OPENBLAS_Occupancy_%,OPENBLAS_Tot_Idle_ms,OPENBLAS_Tot_Work_ms,OPENBLAS_Avg_Idle_us,OPENBLAS_Avg_Work_us,OPENBLAS_Tot_Time_ms
LARGE_MATRIX_SPLIT,4092,4000,4000,4,272.221,0.272,112.113,44.175,272.221,10.354,38.035,7.668,28.167,5.001,18.371,0.282,34.497,4.601,2,77.966,15.952,56.445,7976.001,28222.258,72.397,1,94.139,16.043,257.663,16042.767,257663.005,273.706,0,0,0,0,0,0,0,1,65.104,15.876,29.620,15876.305,29620.217,45.497
LARGE_MATRIX_SPLIT,4092,4000,4000,4,72.6592,0.073,55.889,46.394,72.659,2.685,36.952,1.733,23.847,7.934,109.195,0.174,31.126,4.606,2,84.758,11.281,62.732,5640.649,31366.111,74.014,1,76.292,11.332,36.466,11332.233,36466.076,47.798,0,0,0,0,0,0,0,1,77.363,11.204,38.290,11203.812,38289.540,49.493
LARGE_MATRIX_SPLIT,4092,4000,4000,4,81.3268,0.081,58.717,37.844,81.327,3.081,37.890,1.712,21.048,0.000,0.000,0.157,38.417,5.453,2,85.787,11.751,70.926,5875.593,35462.997,82.677,1,69.911,11.811,27.442,11811.101,27442.314,39.253,0,0,0,0,0,0,0,1,79.716,11.709,46.014,11708.608,46014.310,57.723
LARGE_MATRIX_SPLIT,4092,4000,4000,4,203.575,0.204,99.833,56.340,203.575,7.780,38.218,5.411,26.582,14.218,69.842,0.162,30.882,3.991,2,86.330,11.446,72.282,5722.955,36141.048,83.728,1,94.440,11.415,193.884,11414.982,193883.618,205.299,0,0,0,0,0,0,0,1,80.813,11.337,47.751,11337.055,47750.769,59.088
LARGE_MATRIX_SPLIT,4092,4000,4000,4,90.9989,0.091,70.666,60.182,90.999,3.514,38.612,2.119,23.283,5.042,55.407,0.146,30.254,4.275,2,84.728,14.119,78.333,7059.693,39166.527,92.452,1,77.219,14.018,47.515,14017.933,47515.453,61.533,0,0,0,0,0,0,0,1,80.717,14.004,58.621,14004.411,58620.740,72.625
LARGE_MATRIX_SPLIT,4092,4000,4000,4,93.3289,0.093,73.310,57.424,93.329,3.638,38.984,2.026,21.705,0.000,0.000,0.148,32.394,4.745,2,86.126,13.134,81.533,6566.842,40766.283,94.666,1,77.662,13.124,45.627,13123.544,45626.614,58.750,0,0,0,0,0,0,0,1,84.572,13.109,71.863,13109.481,71862.599,84.972
LARGE_MATRIX_SPLIT,4092,4000,4000,4,102.905,0.103,80.156,58.638,102.905,4.042,39.283,2.179,21.178,12.116,117.740,0.146,32.222,5.032,2,86.448,13.386,85.390,6692.775,42694.772,98.775,1,78.632,13.481,49.608,13480.997,49608.110,63.089,0,0,0,0,0,0,0,1,87.174,13.368,90.862,13368.163,90862.015,104.230
LARGE_MATRIX_SPLIT,4092,4000,4000,4,141.535,0.142,112.838,83.785,141.535,5.344,37.761,2.947,20.818,8.773,61.985,0.151,29.035,4.302,2,67.941,40.936,86.755,20468.176,43377.679,127.692,1,59.620,40.853,60.319,40853.360,60318.876,101.172,0,0,0,0,0,0,0,1,71.437,40.806,102.054,40805.616,102054.129,142.860
LARGE_MATRIX_SPLIT,4092,4000,4000,6,161.95,0.162,100.289,57.448,161.950,6.290,38.836,3.607,22.272,8.280,51.127,0.173,37.831,6.919,3,89.662,12.173,105.569,4057.504,35189.826,117.742,2,92.622,12.051,151.293,6025.461,75646.627,163.344,0,0,0,0,0,0,0,1,86.611,12.129,78.463,12129.459,78463.368,90.593
LARGE_MATRIX_SPLIT,4092,4000,4000,6,118.387,0.118,89.939,53.403,118.387,4.609,38.931,2.240,18.923,10.125,85.525,0.195,31.209,5.465,3,90.487,11.406,108.493,3801.868,36164.207,119.898,2,87.124,11.387,77.054,5693.636,38526.808,88.441,0,0,0,0,0,0,0,1,89.505,11.304,96.409,11304.483,96408.869,107.713
LARGE_MATRIX_SPLIT,4092,4000,4000,6,124.2,0.124,93.015,52.939,124.200,4.889,39.367,2.276,18.323,10.058,80.982,0.154,31.269,4.383,3,91.070,10.974,111.919,3657.896,37306.277,122.893,2,87.774,11.045,79.300,5522.611,39650.021,90.345,0,0,0,0,0,0,0,1,91.282,10.938,114.521,10937.538,114520.983,125.459
LARGE_MATRIX_SPLIT,4092,4000,4000,6,143.88,0.144,99.498,52.240,143.880,5.616,39.030,2.771,19.256,9.980,69.364,0.173,32.304,5.362,3,91.536,10.833,117.160,3611.112,39053.211,127.993,2,89.139,10.912,89.555,5456.105,44777.498,100.467,0,0,0,0,0,0,0,1,92.577,10.780,134.434,10779.843,134433.513,145.213
LARGE_MATRIX_SPLIT,4092,4000,4000,6,159.653,0.160,103.021,52.759,159.653,6.383,39.981,3.219,20.163,18.600,116.503,0.317,33.702,4.470,3,91.425,11.152,118.901,3717.351,39633.542,130.053,2,89.078,11.240,91.674,5620.095,45836.925,102.914,0,0,0,0,0,0,0,1,93.091,11.120,149.839,11120.437,149838.599,160.959
LARGE_MATRIX_SPLIT,4092,4000,4000,6,134.196,0.134,95.889,51.978,134.196,8.195,61.067,5.206,38.792,10.661,79.444,0.135,36.894,6.067,3,92.260,10.523,125.423,3507.621,41807.562,135.946,2,88.909,10.596,84.949,5298.241,42474.394,95.545,0,0,0,0,0,0,0,1,91.852,10.498,118.349,10498.476,118349.273,128.848
LARGE_MATRIX_SPLIT,4092,4000,4000,7,152.374,0.152,100.091,51.815,152.374,9.117,59.836,5.574,36.583,10.251,67.275,0.519,46.080,8.173,4,93.103,10.609,143.216,2652.350,35804.078,153.826,2,90.001,10.457,94.121,5228.436,47060.455,104.578,0,0,0,0,0,0,0,1,87.502,10.449,73.151,10448.672,73150.996,83.600
